tanggal,komoditas,harga
2018-01-02,beras medium/kg,11340
2018-01-02,gula pasir/kg,13740
2018-01-02,minyak goreng bimoli botol/liter,14040
2018-01-02,minyak goreng curah/liter,12388
2018-01-02,daging sapi lokal paha belakang/kg,117660
2018-01-02,daging sapi lokal daging has luar (sirloin)/kg,118333
2018-01-02,daging sapi lokal daging sandung lamur (brisket)/kg,89167
2018-01-02,daging sapi lokal daging tetelan/kg,70833
2018-01-02,daging sapi impor beku/kg,120000
2018-01-02,daging sapi lokal has dalam/kg,143333
2018-01-02,ayam boiler/ekor,39740
2018-01-02,ayam kampung/ekor,55075
2018-01-02,telur ayam ras/kg,26150
2018-01-02,telur ayam kampung/butir,2100
2018-01-02,susu kental manis kaleng merk bendera/buah,12340
2018-01-02,susu kental manis kaleng merk indomilk/buah,10300
2018-01-02,susu bubuk kaleng merk bendera/buah,43667
2018-01-02,susu bubuk kaleng merk indomilk/buah,42000
2018-01-02,jagung pipilan kecil/kg,16833
2018-01-02,garam beryodium bata/250 gr,3220
2018-01-02,garam beryodium halus/kg,11260
2018-01-02,tepung terigu segitiga biru/kg,10160
2018-01-02,kacang kedelai eks impor/kg,12300
2018-01-02,kacang kedelai lokal/kg,3333
2018-01-02,indomie rasa kari ayam/buah,2740
2018-01-02,cabai merah keriting/kg,37140
2018-01-02,cabai merah besar/kg,37260
2018-01-02,cabai rawit merah/kg,56240
2018-01-02,cabai rawit hijau/kg,34800
2018-01-02,bawang merah (medium)/kg,26800
2018-01-02,bawang putih impor (kating)/kg,28560
2018-01-02,bawang putih impor (honan)/kg,25000
2018-01-02,ikan teri asin/kg,109400
2018-01-02,ikan kembung/kg,36660
2018-01-02,kacang hijau/kg,22340
2018-01-02,kacang tanah/kg,25500
2018-01-02,ketela pohon/kg,5060
2018-01-03,beras medium/kg,11440
2018-01-03,gula pasir/kg,13840
2018-01-03,minyak goreng bimoli botol/liter,14240
2018-01-03,minyak goreng curah/liter,12450
2018-01-03,daging sapi lokal paha belakang/kg,117660
2018-01-03,daging sapi lokal daging has luar (sirloin)/kg,117500
2018-01-03,daging sapi lokal daging sandung lamur (brisket)/kg,89167
2018-01-03,daging sapi lokal daging tetelan/kg,75000
2018-01-03,daging sapi impor beku/kg,120000
2018-01-03,daging sapi lokal has dalam/kg,141667
2018-01-03,ayam boiler/ekor,38940
2018-01-03,ayam kampung/ekor,55075
2018-01-03,telur ayam ras/kg,26200
2018-01-03,telur ayam kampung/butir,2150
2018-01-03,susu kental manis kaleng merk bendera/buah,12240
2018-01-03,susu kental manis kaleng merk indomilk/buah,10400
2018-01-03,susu bubuk kaleng merk bendera/buah,43667
2018-01-03,susu bubuk kaleng merk indomilk/buah,42000
2018-01-03,jagung pipilan kecil/kg,16833
2018-01-03,garam beryodium bata/250 gr,3320
2018-01-03,garam beryodium halus/kg,10660
2018-01-03,tepung terigu segitiga biru/kg,10360
2018-01-03,kacang kedelai eks impor/kg,12300
2018-01-03,kacang kedelai lokal/kg,3333
2018-01-03,indomie rasa kari ayam/buah,2740
2018-01-03,cabai merah keriting/kg,38640
2018-01-03,cabai merah besar/kg,37260
2018-01-03,cabai rawit merah/kg,58240
2018-01-03,cabai rawit hijau/kg,35300
2018-01-03,bawang merah (medium)/kg,27800
2018-01-03,bawang putih impor (kating)/kg,30260
2018-01-03,bawang putih impor (honan)/kg,25000
2018-01-03,ikan teri asin/kg,108400
2018-01-03,ikan kembung/kg,35660
2018-01-03,kacang hijau/kg,22540
2018-01-03,kacang tanah/kg,25700
2018-01-03,ketela pohon/kg,5060
2018-01-04,beras medium/kg,11490
2018-01-04,gula pasir/kg,13390
2018-01-04,minyak goreng bimoli botol/liter,14240
2018-01-04,minyak goreng curah/liter,12575
2018-01-04,daging sapi lokal paha belakang/kg,117660
2018-01-04,daging sapi lokal daging has luar (sirloin)/kg,118333
2018-01-04,daging sapi lokal daging sandung lamur (brisket)/kg,95000
2018-01-04,daging sapi lokal daging tetelan/kg,80000
2018-01-04,daging sapi impor beku/kg,120000
2018-01-04,daging sapi lokal has dalam/kg,146667
2018-01-04,ayam boiler/ekor,37440
2018-01-04,ayam kampung/ekor,53825
2018-01-04,telur ayam ras/kg,26300
2018-01-04,telur ayam kampung/butir,2100
2018-01-04,susu kental manis kaleng merk bendera/buah,11940
2018-01-04,susu kental manis kaleng merk indomilk/buah,10600
2018-01-04,susu bubuk kaleng merk bendera/buah,43667
2018-01-04,susu bubuk kaleng merk indomilk/buah,42000
2018-01-04,jagung pipilan kecil/kg,16833
2018-01-04,garam beryodium bata/250 gr,3000
2018-01-04,garam beryodium halus/kg,13060
2018-01-04,tepung terigu segitiga biru/kg,9860
2018-01-04,kacang kedelai eks impor/kg,12050
2018-01-04,kacang kedelai lokal/kg,3333
2018-01-04,indomie rasa kari ayam/buah,2740
2018-01-04,cabai merah keriting/kg,39340
2018-01-04,cabai merah besar/kg,39260
2018-01-04,cabai rawit merah/kg,61140
2018-01-04,cabai rawit hijau/kg,41400
2018-01-04,bawang merah (medium)/kg,28400
2018-01-04,bawang putih impor (kating)/kg,28660
2018-01-04,bawang putih impor (honan)/kg,27500
2018-01-04,ikan teri asin/kg,106000
2018-01-04,ikan kembung/kg,35860
2018-01-04,kacang hijau/kg,22540
2018-01-04,kacang tanah/kg,25600
2018-01-04,ketela pohon/kg,5060
2018-01-05,beras medium/kg,11740
2018-01-05,gula pasir/kg,13640
2018-01-05,minyak goreng bimoli botol/liter,14040
2018-01-05,minyak goreng curah/liter,12200
2018-01-05,daging sapi lokal paha belakang/kg,119660
2018-01-05,daging sapi lokal daging has luar (sirloin)/kg,120000
2018-01-05,daging sapi lokal daging sandung lamur (brisket)/kg,102500
2018-01-05,daging sapi lokal daging tetelan/kg,76667
2018-01-05,daging sapi impor beku/kg,120000
2018-01-05,daging sapi lokal has dalam/kg,146667
2018-01-05,ayam boiler/ekor,36940
2018-01-05,ayam kampung/ekor,78825
2018-01-05,telur ayam ras/kg,26450
2018-01-05,telur ayam kampung/butir,2120
2018-01-05,susu kental manis kaleng merk bendera/buah,11940
2018-01-05,susu kental manis kaleng merk indomilk/buah,10300
2018-01-05,susu bubuk kaleng merk bendera/buah,43667
2018-01-05,susu bubuk kaleng merk indomilk/buah,42000
2018-01-05,jagung pipilan kecil/kg,15167
2018-01-05,garam beryodium bata/250 gr,3100
2018-01-05,garam beryodium halus/kg,11260
2018-01-05,tepung terigu segitiga biru/kg,9610
2018-01-05,kacang kedelai eks impor/kg,12800
2018-01-05,kacang kedelai lokal/kg,3333
2018-01-05,indomie rasa kari ayam/buah,2800
2018-01-05,cabai merah keriting/kg,42340
2018-01-05,cabai merah besar/kg,40260
2018-01-05,cabai rawit merah/kg,57340
2018-01-05,cabai rawit hijau/kg,40400
2018-01-05,bawang merah (medium)/kg,27900
2018-01-05,bawang putih impor (kating)/kg,28960
2018-01-05,bawang putih impor (honan)/kg,27500
2018-01-05,ikan teri asin/kg,102000
2018-01-05,ikan kembung/kg,35360
2018-01-05,kacang hijau/kg,23200
2018-01-05,kacang tanah/kg,25700
2018-01-05,ketela pohon/kg,4960
2018-01-08,beras medium/kg,11740
2018-01-08,gula pasir/kg,13640
2018-01-08,minyak goreng bimoli botol/liter,13440
2018-01-08,minyak goreng curah/liter,12200
2018-01-08,daging sapi lokal paha belakang/kg,119660
2018-01-08,daging sapi lokal daging has luar (sirloin)/kg,120000
2018-01-08,daging sapi lokal daging sandung lamur (brisket)/kg,102500
2018-01-08,daging sapi lokal daging tetelan/kg,76667
2018-01-08,daging sapi impor beku/kg,120000
2018-01-08,daging sapi lokal has dalam/kg,146667
2018-01-08,ayam boiler/ekor,36940
2018-01-08,ayam kampung/ekor,77575
2018-01-08,telur ayam ras/kg,26450
2018-01-08,telur ayam kampung/butir,2120
2018-01-08,susu kental manis kaleng merk bendera/buah,11940
2018-01-08,susu kental manis kaleng merk indomilk/buah,10300
2018-01-08,susu bubuk kaleng merk bendera/buah,43667
2018-01-08,susu bubuk kaleng merk indomilk/buah,42000
2018-01-08,jagung pipilan kecil/kg,15167
2018-01-08,garam beryodium bata/250 gr,3120
2018-01-08,garam beryodium halus/kg,11460
2018-01-08,tepung terigu segitiga biru/kg,9610
2018-01-08,kacang kedelai eks impor/kg,12800
2018-01-08,kacang kedelai lokal/kg,3333
2018-01-08,indomie rasa kari ayam/buah,2400
2018-01-08,cabai merah keriting/kg,42340
2018-01-08,cabai merah besar/kg,40260
2018-01-08,cabai rawit merah/kg,57340
2018-01-08,cabai rawit hijau/kg,40400
2018-01-08,bawang merah (medium)/kg,27900
2018-01-08,bawang putih impor (kating)/kg,28960
2018-01-08,bawang putih impor (honan)/kg,27500
2018-01-08,ikan teri asin/kg,102000
2018-01-08,ikan kembung/kg,35360
2018-01-08,kacang hijau/kg,23200
2018-01-08,kacang tanah/kg,25700
2018-01-08,ketela pohon/kg,4960
2018-01-09,beras medium/kg,11480
2018-01-09,gula pasir/kg,13540
2018-01-09,minyak goreng bimoli botol/liter,13400
2018-01-09,minyak goreng curah/liter,12625
2018-01-09,daging sapi lokal paha belakang/kg,117660
2018-01-09,daging sapi lokal daging has luar (sirloin)/kg,116667
2018-01-09,daging sapi lokal daging sandung lamur (brisket)/kg,95000
2018-01-09,daging sapi lokal daging tetelan/kg,81667
2018-01-09,daging sapi impor beku/kg,120000
2018-01-09,daging sapi lokal has dalam/kg,143333
2018-01-09,ayam boiler/ekor,37300
2018-01-09,ayam kampung/ekor,82100
2018-01-09,telur ayam ras/kg,26260
2018-01-09,telur ayam kampung/butir,2110
2018-01-09,susu kental manis kaleng merk bendera/buah,11960
2018-01-09,susu kental manis kaleng merk indomilk/buah,10440
2018-01-09,susu bubuk kaleng merk bendera/buah,44167
2018-01-09,susu bubuk kaleng merk indomilk/buah,42500
2018-01-09,jagung pipilan kecil/kg,15167
2018-01-09,garam beryodium bata/250 gr,3520
2018-01-09,garam beryodium halus/kg,12300
2018-01-09,tepung terigu segitiga biru/kg,9840
2018-01-09,kacang kedelai eks impor/kg,12175
2018-01-09,kacang kedelai lokal/kg,3667
2018-01-09,indomie rasa kari ayam/buah,2320
2018-01-09,cabai merah keriting/kg,38600
2018-01-09,cabai merah besar/kg,39340
2018-01-09,cabai rawit merah/kg,54340
2018-01-09,cabai rawit hijau/kg,38440
2018-01-09,bawang merah (medium)/kg,28100
2018-01-09,bawang putih impor (kating)/kg,28340
2018-01-09,bawang putih impor (honan)/kg,28500
2018-01-09,ikan teri asin/kg,105200
2018-01-09,ikan kembung/kg,36660
2018-01-09,kacang hijau/kg,23340
2018-01-09,kacang tanah/kg,26300
2018-01-09,ketela pohon/kg,4900
2018-01-10,beras medium/kg,11620
2018-01-10,gula pasir/kg,13600
2018-01-10,minyak goreng bimoli botol/liter,13640
2018-01-10,minyak goreng curah/liter,12300
2018-01-10,daging sapi lokal paha belakang/kg,118660
2018-01-10,daging sapi lokal daging has luar (sirloin)/kg,120000
2018-01-10,daging sapi lokal daging sandung lamur (brisket)/kg,98333
2018-01-10,daging sapi lokal daging tetelan/kg,65833
2018-01-10,daging sapi impor beku/kg,120000
2018-01-10,daging sapi lokal has dalam/kg,143333
2018-01-10,ayam boiler/ekor,36260
2018-01-10,ayam kampung/ekor,84000
2018-01-10,telur ayam ras/kg,26000
2018-01-10,telur ayam kampung/butir,2160
2018-01-10,susu kental manis kaleng merk bendera/buah,12060
2018-01-10,susu kental manis kaleng merk indomilk/buah,10300
2018-01-10,susu bubuk kaleng merk bendera/buah,44167
2018-01-10,susu bubuk kaleng merk indomilk/buah,42400
2018-01-10,jagung pipilan kecil/kg,15167
2018-01-10,garam beryodium bata/250 gr,3720
2018-01-10,garam beryodium halus/kg,12660
2018-01-10,tepung terigu segitiga biru/kg,9900
2018-01-10,kacang kedelai eks impor/kg,12375
2018-01-10,kacang kedelai lokal/kg,3667
2018-01-10,indomie rasa kari ayam/buah,2360
2018-01-10,cabai merah keriting/kg,42860
2018-01-10,cabai merah besar/kg,40040
2018-01-10,cabai rawit merah/kg,48660
2018-01-10,cabai rawit hijau/kg,35540
2018-01-10,bawang merah (medium)/kg,28040
2018-01-10,bawang putih impor (kating)/kg,27140
2018-01-10,bawang putih impor (honan)/kg,28500
2018-01-10,ikan teri asin/kg,100660
2018-01-10,ikan kembung/kg,37660
2018-01-10,kacang hijau/kg,23340
2018-01-10,kacang tanah/kg,25600
2018-01-10,ketela pohon/kg,4800
2018-01-11,beras medium/kg,11620
2018-01-11,gula pasir/kg,13600
2018-01-11,minyak goreng bimoli botol/liter,13340
2018-01-11,minyak goreng curah/liter,12363
2018-01-11,daging sapi lokal paha belakang/kg,119660
2018-01-11,daging sapi lokal daging has luar (sirloin)/kg,120000
2018-01-11,daging sapi lokal daging sandung lamur (brisket)/kg,101667
2018-01-11,daging sapi lokal daging tetelan/kg,70000
2018-01-11,daging sapi impor beku/kg,120000
2018-01-11,daging sapi lokal has dalam/kg,143333
2018-01-11,ayam boiler/ekor,38260
2018-01-11,ayam kampung/ekor,79250
2018-01-11,telur ayam ras/kg,25900
2018-01-11,telur ayam kampung/butir,2110
2018-01-11,susu kental manis kaleng merk bendera/buah,11660
2018-01-11,susu kental manis kaleng merk indomilk/buah,10300
2018-01-11,susu bubuk kaleng merk bendera/buah,44167
2018-01-11,susu bubuk kaleng merk indomilk/buah,42400
2018-01-11,jagung pipilan kecil/kg,15500
2018-01-11,garam beryodium bata/250 gr,3920
2018-01-11,garam beryodium halus/kg,11460
2018-01-11,tepung terigu segitiga biru/kg,10000
2018-01-11,kacang kedelai eks impor/kg,12500
2018-01-11,kacang kedelai lokal/kg,3667
2018-01-11,indomie rasa kari ayam/buah,2360
2018-01-11,cabai merah keriting/kg,46860
2018-01-11,cabai merah besar/kg,42340
2018-01-11,cabai rawit merah/kg,53660
2018-01-11,cabai rawit hijau/kg,37040
2018-01-11,bawang merah (medium)/kg,27340
2018-01-11,bawang putih impor (kating)/kg,27940
2018-01-11,bawang putih impor (honan)/kg,28500
2018-01-11,ikan teri asin/kg,101660
2018-01-11,ikan kembung/kg,37660
2018-01-11,kacang hijau/kg,22940
2018-01-11,kacang tanah/kg,25500
2018-01-11,ketela pohon/kg,4800
2018-01-12,beras medium/kg,11520
2018-01-12,gula pasir/kg,13700
2018-01-12,minyak goreng bimoli botol/liter,13440
2018-01-12,minyak goreng curah/liter,12300
2018-01-12,daging sapi lokal paha belakang/kg,119660
2018-01-12,daging sapi lokal daging has luar (sirloin)/kg,120000
2018-01-12,daging sapi lokal daging sandung lamur (brisket)/kg,96667
2018-01-12,daging sapi lokal daging tetelan/kg,73333
2018-01-12,daging sapi impor beku/kg,120000
2018-01-12,daging sapi lokal has dalam/kg,142500
2018-01-12,ayam boiler/ekor,36260
2018-01-12,ayam kampung/ekor,88000
2018-01-12,telur ayam ras/kg,25700
2018-01-12,telur ayam kampung/butir,2160
2018-01-12,susu kental manis kaleng merk bendera/buah,11610
2018-01-12,susu kental manis kaleng merk indomilk/buah,10300
2018-01-12,susu bubuk kaleng merk bendera/buah,44167
2018-01-12,susu bubuk kaleng merk indomilk/buah,42400
2018-01-12,jagung pipilan kecil/kg,15500
2018-01-12,garam beryodium bata/250 gr,3720
2018-01-12,garam beryodium halus/kg,11360
2018-01-12,tepung terigu segitiga biru/kg,9900
2018-01-12,kacang kedelai eks impor/kg,12000
2018-01-12,kacang kedelai lokal/kg,3667
2018-01-12,indomie rasa kari ayam/buah,2360
2018-01-12,cabai merah keriting/kg,44360
2018-01-12,cabai merah besar/kg,41040
2018-01-12,cabai rawit merah/kg,49160
2018-01-12,cabai rawit hijau/kg,38340
2018-01-12,bawang merah (medium)/kg,25640
2018-01-12,bawang putih impor (kating)/kg,27440
2018-01-12,bawang putih impor (honan)/kg,26000
2018-01-12,ikan teri asin/kg,100960
2018-01-12,ikan kembung/kg,37660
2018-01-12,kacang hijau/kg,22240
2018-01-12,kacang tanah/kg,25700
2018-01-12,ketela pohon/kg,4800
2018-01-15,beras medium/kg,12240
2018-01-15,gula pasir/kg,14040
2018-01-15,minyak goreng bimoli botol/liter,13510
2018-01-15,minyak goreng curah/liter,12625
2018-01-15,daging sapi lokal paha belakang/kg,119660
2018-01-15,daging sapi lokal daging has luar (sirloin)/kg,121667
2018-01-15,daging sapi lokal daging sandung lamur (brisket)/kg,101667
2018-01-15,daging sapi lokal daging tetelan/kg,70000
2018-01-15,daging sapi impor beku/kg,120000
2018-01-15,daging sapi lokal has dalam/kg,148333
2018-01-15,ayam boiler/ekor,37460
2018-01-15,ayam kampung/ekor,85767
2018-01-15,telur ayam ras/kg,25760
2018-01-15,telur ayam kampung/butir,2040
2018-01-15,susu kental manis kaleng merk bendera/buah,12060
2018-01-15,susu kental manis kaleng merk indomilk/buah,10700
2018-01-15,susu bubuk kaleng merk bendera/buah,44667
2018-01-15,susu bubuk kaleng merk indomilk/buah,43067
2018-01-15,jagung pipilan kecil/kg,15567
2018-01-15,garam beryodium bata/250 gr,3780
2018-01-15,garam beryodium halus/kg,13100
2018-01-15,tepung terigu segitiga biru/kg,10040
2018-01-15,kacang kedelai eks impor/kg,12050
2018-01-15,kacang kedelai lokal/kg,3667
2018-01-15,indomie rasa kari ayam/buah,2400
2018-01-15,cabai merah keriting/kg,44140
2018-01-15,cabai merah besar/kg,41040
2018-01-15,cabai rawit merah/kg,56740
2018-01-15,cabai rawit hijau/kg,42400
2018-01-15,bawang merah (medium)/kg,27600
2018-01-15,bawang putih impor (kating)/kg,28960
2018-01-15,bawang putih impor (honan)/kg,25500
2018-01-15,ikan teri asin/kg,107660
2018-01-15,ikan kembung/kg,37800
2018-01-15,kacang hijau/kg,22660
2018-01-15,kacang tanah/kg,25360
2018-01-15,ketela pohon/kg,4740
2018-01-16,beras medium/kg,12260
2018-01-16,gula pasir/kg,13860
2018-01-16,minyak goreng bimoli botol/liter,13490
2018-01-16,minyak goreng curah/liter,12500
2018-01-16,daging sapi lokal paha belakang/kg,119660
2018-01-16,daging sapi lokal daging has luar (sirloin)/kg,121667
2018-01-16,daging sapi lokal daging sandung lamur (brisket)/kg,98333
2018-01-16,daging sapi lokal daging tetelan/kg,80000
2018-01-16,daging sapi impor beku/kg,120000
2018-01-16,daging sapi lokal has dalam/kg,148333
2018-01-16,ayam boiler/ekor,37140
2018-01-16,ayam kampung/ekor,81233
2018-01-16,telur ayam ras/kg,25400
2018-01-16,telur ayam kampung/butir,1980
2018-01-16,susu kental manis kaleng merk bendera/buah,12460
2018-01-16,susu kental manis kaleng merk indomilk/buah,10700
2018-01-16,susu bubuk kaleng merk bendera/buah,44100
2018-01-16,susu bubuk kaleng merk indomilk/buah,42433
2018-01-16,jagung pipilan kecil/kg,15100
2018-01-16,garam beryodium bata/250 gr,3220
2018-01-16,garam beryodium halus/kg,10900
2018-01-16,tepung terigu segitiga biru/kg,10040
2018-01-16,kacang kedelai eks impor/kg,12050
2018-01-16,kacang kedelai lokal/kg,4000
2018-01-16,indomie rasa kari ayam/buah,2380
2018-01-16,cabai merah keriting/kg,44860
2018-01-16,cabai merah besar/kg,41360
2018-01-16,cabai rawit merah/kg,54260
2018-01-16,cabai rawit hijau/kg,38200
2018-01-16,bawang merah (medium)/kg,25940
2018-01-16,bawang putih impor (kating)/kg,28840
2018-01-16,bawang putih impor (honan)/kg,27500
2018-01-16,ikan teri asin/kg,105940
2018-01-16,ikan kembung/kg,36660
2018-01-16,kacang hijau/kg,22740
2018-01-16,kacang tanah/kg,25100
2018-01-16,ketela pohon/kg,4800
2018-01-17,beras medium/kg,11710
2018-01-17,gula pasir/kg,13560
2018-01-17,minyak goreng bimoli botol/liter,13490
2018-01-17,minyak goreng curah/liter,12500
2018-01-17,daging sapi lokal paha belakang/kg,119660
2018-01-17,daging sapi lokal daging has luar (sirloin)/kg,120000
2018-01-17,daging sapi lokal daging sandung lamur (brisket)/kg,90000
2018-01-17,daging sapi lokal daging tetelan/kg,90000
2018-01-17,daging sapi impor beku/kg,120000
2018-01-17,daging sapi lokal has dalam/kg,146667
2018-01-17,ayam boiler/ekor,37540
2018-01-17,ayam kampung/ekor,79675
2018-01-17,telur ayam ras/kg,24900
2018-01-17,telur ayam kampung/butir,2020
2018-01-17,susu kental manis kaleng merk bendera/buah,12760
2018-01-17,susu kental manis kaleng merk indomilk/buah,10700
2018-01-17,susu bubuk kaleng merk bendera/buah,44100
2018-01-17,susu bubuk kaleng merk indomilk/buah,42433
2018-01-17,jagung pipilan kecil/kg,15100
2018-01-17,garam beryodium bata/250 gr,3420
2018-01-17,garam beryodium halus/kg,11100
2018-01-17,tepung terigu segitiga biru/kg,9440
2018-01-17,kacang kedelai eks impor/kg,11675
2018-01-17,kacang kedelai lokal/kg,4000
2018-01-17,indomie rasa kari ayam/buah,2380
2018-01-17,cabai merah keriting/kg,42860
2018-01-17,cabai merah besar/kg,40860
2018-01-17,cabai rawit merah/kg,53260
2018-01-17,cabai rawit hijau/kg,42200
2018-01-17,bawang merah (medium)/kg,24140
2018-01-17,bawang putih impor (kating)/kg,27340
2018-01-17,bawang putih impor (honan)/kg,22500
2018-01-17,ikan teri asin/kg,103940
2018-01-17,ikan kembung/kg,35660
2018-01-17,kacang hijau/kg,21740
2018-01-17,kacang tanah/kg,24700
2018-01-17,ketela pohon/kg,4800
2018-01-18,beras medium/kg,10663
2018-01-18,gula pasir/kg,13540
2018-01-18,minyak goreng bimoli botol/liter,13560
2018-01-18,minyak goreng curah/liter,12613
2018-01-18,daging sapi lokal paha belakang/kg,119660
2018-01-18,daging sapi lokal daging has luar (sirloin)/kg,121667
2018-01-18,daging sapi lokal daging sandung lamur (brisket)/kg,93333
2018-01-18,daging sapi lokal daging tetelan/kg,83333
2018-01-18,daging sapi impor beku/kg,70000
2018-01-18,daging sapi lokal has dalam/kg,131667
2018-01-18,ayam boiler/ekor,37240
2018-01-18,ayam kampung/ekor,74250
2018-01-18,telur ayam ras/kg,24000
2018-01-18,telur ayam kampung/butir,2100
2018-01-18,susu kental manis kaleng merk bendera/buah,11790
2018-01-18,susu kental manis kaleng merk indomilk/buah,10140
2018-01-18,susu bubuk kaleng merk bendera/buah,43667
2018-01-18,susu bubuk kaleng merk indomilk/buah,42433
2018-01-18,jagung pipilan kecil/kg,15500
2018-01-18,garam beryodium bata/250 gr,3510
2018-01-18,garam beryodium halus/kg,11960
2018-01-18,tepung terigu segitiga biru/kg,10240
2018-01-18,kacang kedelai eks impor/kg,12550
2018-01-18,kacang kedelai lokal/kg,11000
2018-01-18,indomie rasa kari ayam/buah,2400
2018-01-18,cabai merah keriting/kg,48200
2018-01-18,cabai merah besar/kg,46040
2018-01-18,cabai rawit merah/kg,53760
2018-01-18,cabai rawit hijau/kg,42760
2018-01-18,bawang merah (medium)/kg,25940
2018-01-18,bawang putih impor (kating)/kg,28200
2018-01-18,bawang putih impor (honan)/kg,22500
2018-01-18,ikan teri asin/kg,108040
2018-01-18,ikan kembung/kg,38860
2018-01-18,kacang hijau/kg,23040
2018-01-18,kacang tanah/kg,24700
2018-01-18,ketela pohon/kg,4800
2018-01-19,beras medium/kg,10925
2018-01-19,gula pasir/kg,13660
2018-01-19,minyak goreng bimoli botol/liter,13410
2018-01-19,minyak goreng curah/liter,12300
2018-01-19,daging sapi lokal paha belakang/kg,117660
2018-01-19,daging sapi lokal daging has luar (sirloin)/kg,116667
2018-01-19,daging sapi lokal daging sandung lamur (brisket)/kg,91667
2018-01-19,daging sapi lokal daging tetelan/kg,70000
2018-01-19,daging sapi impor beku/kg,70000
2018-01-19,daging sapi lokal has dalam/kg,148333
2018-01-19,ayam boiler/ekor,38140
2018-01-19,ayam kampung/ekor,80667
2018-01-19,telur ayam ras/kg,23960
2018-01-19,telur ayam kampung/butir,2090
2018-01-19,susu kental manis kaleng merk bendera/buah,12460
2018-01-19,susu kental manis kaleng merk indomilk/buah,10140
2018-01-19,susu bubuk kaleng merk bendera/buah,44100
2018-01-19,susu bubuk kaleng merk indomilk/buah,42567
2018-01-19,jagung pipilan kecil/kg,15500
2018-01-19,garam beryodium bata/250 gr,3360
2018-01-19,garam beryodium halus/kg,10600
2018-01-19,tepung terigu segitiga biru/kg,9800
2018-01-19,kacang kedelai eks impor/kg,12050
2018-01-19,kacang kedelai lokal/kg,11500
2018-01-19,indomie rasa kari ayam/buah,2380
2018-01-19,cabai merah keriting/kg,42000
2018-01-19,cabai merah besar/kg,45540
2018-01-19,cabai rawit merah/kg,54800
2018-01-19,cabai rawit hijau/kg,43440
2018-01-19,bawang merah (medium)/kg,26360
2018-01-19,bawang putih impor (kating)/kg,28600
2018-01-19,bawang putih impor (honan)/kg,27500
2018-01-19,ikan teri asin/kg,108800
2018-01-19,ikan kembung/kg,36660
2018-01-19,kacang hijau/kg,21800
2018-01-19,kacang tanah/kg,24700
2018-01-19,ketela pohon/kg,4740
2018-01-22,beras medium/kg,11038
2018-01-22,gula pasir/kg,13750
2018-01-22,minyak goreng bimoli botol/liter,13500
2018-01-22,minyak goreng curah/liter,12875
2018-01-22,daging sapi lokal paha belakang/kg,119660
2018-01-22,daging sapi lokal daging has luar (sirloin)/kg,120000
2018-01-22,daging sapi lokal daging sandung lamur (brisket)/kg,96667
2018-01-22,daging sapi lokal daging tetelan/kg,66667
2018-01-22,daging sapi impor beku/kg,85000
2018-01-22,daging sapi lokal has dalam/kg,150000
2018-01-22,ayam boiler/ekor,37940
2018-01-22,ayam kampung/ekor,80075
2018-01-22,telur ayam ras/kg,23800
2018-01-22,telur ayam kampung/butir,2060
2018-01-22,susu kental manis kaleng merk bendera/buah,11940
2018-01-22,susu kental manis kaleng merk indomilk/buah,10340
2018-01-22,susu bubuk kaleng merk bendera/buah,44100
2018-01-22,susu bubuk kaleng merk indomilk/buah,42567
2018-01-22,jagung pipilan kecil/kg,15333
2018-01-22,garam beryodium bata/250 gr,3760
2018-01-22,garam beryodium halus/kg,13260
2018-01-22,tepung terigu segitiga biru/kg,10140
2018-01-22,kacang kedelai eks impor/kg,13175
2018-01-22,kacang kedelai lokal/kg,12000
2018-01-22,indomie rasa kari ayam/buah,2380
2018-01-22,cabai merah keriting/kg,45840
2018-01-22,cabai merah besar/kg,46000
2018-01-22,cabai rawit merah/kg,51160
2018-01-22,cabai rawit hijau/kg,41600
2018-01-22,bawang merah (medium)/kg,26240
2018-01-22,bawang putih impor (kating)/kg,28340
2018-01-22,bawang putih impor (honan)/kg,22500
2018-01-22,ikan teri asin/kg,111000
2018-01-22,ikan kembung/kg,38300
2018-01-22,kacang hijau/kg,22800
2018-01-22,kacang tanah/kg,25560
2018-01-22,ketela pohon/kg,4800
2018-01-23,beras medium/kg,10975
2018-01-23,gula pasir/kg,14000
2018-01-23,minyak goreng bimoli botol/liter,13500
2018-01-23,minyak goreng curah/liter,12500
2018-01-23,daging sapi lokal paha belakang/kg,119660
2018-01-23,daging sapi lokal daging has luar (sirloin)/kg,123333
2018-01-23,daging sapi lokal daging sandung lamur (brisket)/kg,100000
2018-01-23,daging sapi lokal daging tetelan/kg,78333
2018-01-23,daging sapi impor beku/kg,85000
2018-01-23,daging sapi lokal has dalam/kg,145000
2018-01-23,ayam boiler/ekor,36440
2018-01-23,ayam kampung/ekor,80075
2018-01-23,telur ayam ras/kg,23800
2018-01-23,telur ayam kampung/butir,2110
2018-01-23,susu kental manis kaleng merk bendera/buah,11940
2018-01-23,susu kental manis kaleng merk indomilk/buah,10440
2018-01-23,susu bubuk kaleng merk bendera/buah,44100
2018-01-23,susu bubuk kaleng merk indomilk/buah,42567
2018-01-23,jagung pipilan kecil/kg,15333
2018-01-23,garam beryodium bata/250 gr,4100
2018-01-23,garam beryodium halus/kg,11760
2018-01-23,tepung terigu segitiga biru/kg,10790
2018-01-23,kacang kedelai eks impor/kg,13800
2018-01-23,kacang kedelai lokal/kg,12000
